Date,Open,High,Low,Close,Adj Close,Volume,A,R
1987-05-19,9.16,9.16,9.16,9.16,1.103031,0,-0.435%,-0.435%
1987-05-20,9.09,9.09,9.09,9.09,1.094602,0,-0.764%,-0.764%
1987-05-21,9.09,9.09,9.09,9.09,1.094602,0,0.000%,0.000%
1987-05-22,9.13,9.13,9.13,9.13,1.099419,0,0.440%,0.440%
1987-05-26,9.3,9.3,9.3,9.3,1.119889,0,1.862%,1.862%
1987-05-27,9.32,9.32,9.32,9.32,1.122298,0,0.215%,0.215%
1987-05-28,9.27,9.27,9.27,9.27,1.116277,0,-0.536%,-0.536%
1987-05-29,9.34,9.34,9.34,9.34,1.132893,0,1.489%,1.489%
1987-06-01,9.41,9.41,9.41,9.41,1.141385,0,0.750%,0.750%
1987-06-02,9.23,9.23,9.23,9.23,1.11955,0,-1.913%,-1.913%
1987-06-03,9.26,9.26,9.26,9.26,1.123191,0,0.325%,0.325%
1987-06-04,9.26,9.26,9.26,9.26,1.123191,0,0.000%,0.000%
1987-06-05,9.33,9.33,9.33,9.33,1.13168,0,0.756%,0.756%
1987-06-08,9.33,9.33,9.33,9.33,1.13168,0,0.000%,0.000%
1987-06-09,9.3,9.3,9.3,9.3,1.128042,0,-0.321%,-0.321%
1987-06-10,9.36,9.36,9.36,9.36,1.135321,0,0.645%,0.645%
1987-06-11,9.34,9.34,9.34,9.34,1.132893,0,-0.214%,-0.214%
1987-06-12,9.48,9.48,9.48,9.48,1.149875,0,1.499%,1.499%
1987-06-15,9.49,9.49,9.49,9.49,1.15109,0,0.106%,0.106%
1987-06-16,9.51,9.51,9.51,9.51,1.153516,0,0.211%,0.211%
1987-06-17,9.54,9.54,9.54,9.54,1.157154,0,0.315%,0.315%
1987-06-18,9.52,9.52,9.52,9.52,1.154727,0,-0.210%,-0.210%
1987-06-19,9.5,9.5,9.5,9.5,1.152301,0,-0.210%,-0.210%
1987-06-22,9.54,9.54,9.54,9.54,1.157154,0,0.421%,0.421%
1987-06-23,9.54,9.54,9.54,9.54,1.157154,0,0.000%,0.000%
1987-06-24,9.5,9.5,9.5,9.5,1.152301,0,-0.419%,-0.419%
1987-06-25,9.52,9.52,9.52,9.52,1.154727,0,0.211%,0.211%
1987-06-26,9.43,9.43,9.43,9.43,1.143811,0,-0.945%,-0.945%
1987-06-29,9.42,9.42,9.42,9.42,1.142597,0,-0.106%,-0.106%
1987-06-30,9.41,9.41,9.41,9.41,1.149315,0,0.588%,0.588%
1987-07-01,9.43,9.43,9.43,9.43,1.151759,0,0.213%,0.213%
1987-07-02,9.46,9.46,9.46,9.46,1.155423,0,0.318%,0.318%
1987-07-06,9.47,9.47,9.47,9.47,1.156643,0,0.106%,0.106%
1987-07-07,9.48,9.48,9.48,9.48,1.157864,0,0.106%,0.106%
1987-07-08,9.47,9.47,9.47,9.47,1.156643,0,-0.105%,-0.105%
1987-07-09,9.42,9.42,9.42,9.42,1.150537,0,-0.528%,-0.528%
1987-07-10,9.46,9.46,9.46,9.46,1.155423,0,0.425%,0.425%
1987-07-13,9.41,9.41,9.41,9.41,1.149315,0,-0.529%,-0.529%
1987-07-14,9.44,9.44,9.44,9.44,1.152979,0,0.319%,0.319%
1987-07-15,9.38,9.38,9.38,9.38,1.145651,0,-0.636%,-0.636%
1987-07-16,9.41,9.41,9.41,9.41,1.149315,0,0.320%,0.320%
1987-07-17,9.44,9.44,9.44,9.44,1.152979,0,0.319%,0.319%
1987-07-20,9.41,9.41,9.41,9.41,1.149315,0,-0.318%,-0.318%
1987-07-21,9.37,9.37,9.37,9.37,1.144429,0,-0.425%,-0.425%
1987-07-22,9.3,9.3,9.3,9.3,1.13588,0,-0.747%,-0.747%
1987-07-23,9.3,9.3,9.3,9.3,1.13588,0,0.000%,0.000%
1987-07-24,9.28,9.28,9.28,9.28,1.133437,0,-0.215%,-0.215%
1987-07-27,9.28,9.28,9.28,9.28,1.133437,0,0.000%,0.000%
1987-07-28,9.25,9.25,9.25,9.25,1.129773,0,-0.323%,-0.323%
1987-07-29,9.24,9.24,9.24,9.24,1.128552,0,-0.108%,-0.108%
1987-07-30,9.24,9.24,9.24,9.24,1.128552,0,0.000%,0.000%
1987-07-31,9.24,9.24,9.24,9.24,1.136547,0,0.708%,0.708%
1987-08-03,9.15,9.15,9.15,9.15,1.125476,0,-0.974%,-0.974%
1987-08-04,9.13,9.13,9.13,9.13,1.123017,0,-0.218%,-0.218%
1987-08-05,9.17,9.17,9.17,9.17,1.127937,0,0.438%,0.438%
1987-08-06,9.18,9.18,9.18,9.18,1.129167,0,0.109%,0.109%
1987-08-07,9.2,9.2,9.2,9.2,1.131627,0,0.218%,0.218%
1987-08-10,9.2,9.2,9.2,9.2,1.131627,0,0.000%,0.000%
1987-08-11,9.19,9.19,9.19,9.19,1.130396,0,-0.109%,-0.109%
1987-08-12,9.2,9.2,9.2,9.2,1.131627,0,0.109%,0.109%
1987-08-13,9.21,9.21,9.21,9.21,1.132857,0,0.109%,0.109%
1987-08-14,9.26,9.26,9.26,9.26,1.139007,0,0.543%,0.543%
1987-08-17,9.29,9.29,9.29,9.29,1.142697,0,0.324%,0.324%
1987-08-18,9.21,9.21,9.21,9.21,1.132857,0,-0.861%,-0.861%
1987-08-19,9.16,9.16,9.16,9.16,1.126707,0,-0.543%,-0.543%
1987-08-20,9.19,9.19,9.19,9.19,1.130396,0,0.327%,0.327%
1987-08-21,9.18,9.18,9.18,9.18,1.129167,0,-0.109%,-0.109%
1987-08-24,9.18,9.18,9.18,9.18,1.129167,0,0.000%,0.000%
1987-08-25,9.2,9.2,9.2,9.2,1.131627,0,0.218%,0.218%
1987-08-26,9.18,9.18,9.18,9.18,1.129167,0,-0.217%,-0.217%
1987-08-27,9.09,9.09,9.09,9.09,1.118096,0,-0.980%,-0.980%
